x, y
0.3156965545810309, 102.09042524954519
0.36777842333217925, 101.9385854797651
0.41889581303238027, 101.710806134626
0.47001320273258146, 101.86264590440608
0.5220950714837297, 101.55895323786659
0.5780346896891766, 101.40708721412787
0.6339743078946235, 100.95152852384965
0.6928075300024022, 101.33117389272748
0.747782835906392, 101.25524744434779
0.8095094951670123, 101.10339454758838
0.8615910304191801, 101.17930786898876
0.9165663363231701, 101.710806134626
0.9676837260233712, 101.78673258300569
1.0207300738254665, 101.86264590440608
1.0843856911879814, 102.5459839398234
1.1480413085504957, 103.30526155059975
1.2088034887601689, 103.98859958601707
1.2637786279146688, 104.82377739121449
1.3245408081243415, 106.19044033506982
1.372764593922211, 107.48120308450409
1.4123084017605358, 108.77195270695904
1.4576387504055637, 110.59418746807191
1.5010403076981875, 112.64418844734456
1.5454063440417583, 114.92198189873565
1.5907368594362759, 117.27570179850643
1.6244936262194278, 120.08498038855544
1.6621079757073878, 122.21092094318712
1.6920068262867507, 125.09612598161583
1.723416427246747, 128.0782737623136
1.7571728605309183, 131.19125158239171
1.7923283220373312, 134.30300859339323
1.8205299963060892, 137.60472612211652
1.8487316705748467, 140.67872337710762
1.8805488072887355, 143.86657748721996
1.9130893032908345, 147.28212561710586
1.944906440004723, 150.41305458140243
1.9788933210842623, 153.7716841289622
2.011433483587381, 156.65919951575097
2.0439736460905, 160.0178356268004
2.0801296045377295, 163.1487580276073
2.113393459828039, 166.2227552825984
2.1452105965419275, 168.55671907849444
2.1878744540901893, 171.1183834576537
2.2298156193482006, 173.22464667028657
2.2681409886621013, 175.10320273616657
2.3108048462103623, 176.24172534295153
2.354915088836065, 177.66487367881547
2.396132894805866, 178.34798199209473
2.4351812899089964, 178.74646457629495
2.4800145583239286, 179.20187230631103
2.516170850270138, 179.60035489051128
2.5646195811302017, 179.60035489051128
2.6022219246548723, 179.8280587555193
2.638377549603122, 179.65727675458226
2.6716414048934305, 179.71420518214288
2.7128592108632326, 179.77113032795867
2.751507073691056, 179.5869719350958
2.78787713848362, 179.42178859083822
2.8333403864722864, 179.42178859083822
2.8760049110185086, 179.14648958056517
