x, y
-0.0009653068541638284, 0.262286849266704
0.0019304546398832489, 0.29879638142105125
0.002895761494047225, 0.33319958829370977
0.009652511802083152, 0.36970912044805704
0.014478727936013775, 0.40200600203902725
0.01833979628422468, 0.4357070908424938
0.02413131927231913, 0.4644934688651665
0.03088799004613315, 0.4841524276918927
0.034748978860122, 0.501002972093626
0.05308877514434668, 0.5115345695761812
0.06853280993452428, 0.4981945721315767
0.07722009441666582, 0.4834503385485883
0.0849420720446435, 0.4673018688272156
0.09555981116666844, 0.4476429244634331
0.10424709564880996, 0.42798393671081914
0.11389960745089311, 0.41113339230908585
0.12355211925297642, 0.39217652262566394
0.13223932420089587, 0.37532597822393066
0.14189183600297903, 0.35636910854050885
0.15057912048512057, 0.3367100918620074
0.16409262110119271, 0.31564692582278453
0.17857142857142855, 0.2931795236451775
0.19691114532143117, 0.2721163286800671
0.21428571428571422, 0.25035104457165236
0.23359073788988083, 0.2250752279690523
0.2538609888139889, 0.20471415107313398
0.2683397167500027, 0.18435298739955278
0.28378375154018026, 0.1618856719996086
0.3011582409702413, 0.1387161517528096
0.32142857142857156, 0.11624872064931516
0.3416988223526795, 0.09729185096589324
0.3648648347708349, 0.0783349812824714
0.3861003130148848, 0.06078234773743357
0.41023163228720394, 0.045335981622309285
0.43339772423958145, 0.02988967335896009
0.45463320248363115, 0.01444330724383569
0.47586868072768096, 0.00040117726709537616
0.5086872049479194, -0.004513562439586241
0.5405405018482164, -0.0059177407261951365
0.5685327304003022, -0.008726213002963307
0.5926640496726214, -0.0052157094346657745
0.6158301416249987, -0.009428359998042951
0.6447875974970265, -0.012236716571260728
0.6737450533690541, -0.01504513099625382
0.7075289639776784, -0.01504513099625382
0.7461390111860117, -0.015747277991333464
0.7808879900461333, -0.016449367134637904
0.820463264574408, -0.018555692416326444
0.8600386981711268, -0.01995992855471053
0.9034750410476123, -0.01715145627794236
0.9420849291875009, -0.016449367134637904
0.972972998767856, -0.015747277991333464
1, -0.01715145627794236
